# x_m,y_m,w_tr_right_m,w_tr_left_m,yaw
58.019,-345.163,5.696,5.72,2.707019623318281
57.112,-344.742,5.68,5.719,2.7061129055560373
56.205,-344.32,5.675,5.729,2.7047842358482
55.299,-343.897,5.672,5.738,2.7047842358482
54.393,-343.474,5.662,5.752,2.7025485800533615
53.488,-343.049,5.655,5.769,2.701643648170309
52.583,-342.623,5.653,5.786,2.7003126782376143
51.679,-342.196,5.649,5.814,2.6971734436886874
50.776,-341.766,5.641,5.836,2.695840225830719
49.874,-341.335,5.63,5.851,2.6936037199157306
48.973,-340.902,5.613,5.863,2.690466751468269
48.073,-340.466,5.593,5.888,2.6873323414807766
47.174,-340.027,5.576,5.917,2.6837589325708215
46.277,-339.585,5.555,5.943,2.6792867253581987
45.382,-339.139,5.534,5.969,2.674814464476262
44.489,-338.689,5.506,5.999,2.669451730715879
43.598,-338.234,5.468,6.037,2.6645230318488924
42.71,-337.775,5.422,6.086,2.657813536458606
41.825,-337.31,5.375,6.137,2.651576548755046
40.942,-336.839,5.321,6.201,2.6439232466306355
40.064,-336.362,5.26,6.28,2.635465022678805
39.189,-335.877,5.191,6.366,2.6269141194485415
38.319,-335.385,5.117,6.456,2.617115570752045
37.453,-334.884,5.038,6.554,2.6063189054996414
36.593,-334.374,4.95,6.671,2.594655235329943
35.739,-333.854,4.858,6.797,2.5829933382462533
34.891,-333.324,4.762,6.931,2.5704953130323354
34.049,-332.783,4.653,7.081,2.5563655078059506
33.216,-332.231,4.532,7.234,2.541108035350034
32.391,-331.666,4.416,7.386,2.525295716193742
31.575,-331.088,4.295,7.537,2.5080912114831415
30.769,-330.496,4.164,7.681,2.4916903519721214
29.973,-329.891,4.037,7.805,2.471692398103623
29.189,-329.27,3.915,7.918,2.453258798603285
28.417,-328.635,3.792,8.013,2.431882371046624
27.658,-327.983,3.695,8.097,2.4113791961230087
26.913,-327.316,3.614,8.177,2.388714845729282
26.183,-326.632,3.551,8.244,2.3653945137045422
25.47,-325.932,3.513,8.291,2.341354590249608
24.773,-325.214,3.481,8.325,2.316555207966094
24.095,-324.48,3.458,8.336,2.291130650215943
23.435,-323.728,3.443,8.351,2.264125972856565
22.796,-322.959,3.445,8.375,2.236484917571598
22.178,-322.172,3.421,8.402,2.2084940186521553
